Location1,Location2,Accuracy,StdDev
actin,bud neck,0.9605,0.007648529270389179
actin,cell periphery,0.9675,0.004743416490252597
actin,cytoplasm,0.9615,0.010319883720275152
actin,endosome,0.9455,0.006964194138592058
actin,ER,0.9420000000000002,0.011000000000000001
actin,Golgi,0.9275,0.005700877125495695
actin,mitochondrion,0.8985000000000001,0.009949874371066193
actin,nucleus,0.9824999999999999,0.002738612787525853
actin,nuclear periphery,0.982,0.004301162633521307
actin,nucleolus,0.9875,0.006892024376045109
actin,spindle pole,0.9564999999999999,0.017363755354185318
actin,peroxisome,0.857,0.01197914855071094
actin,vacuolar membrane,0.983,0.004301162633521302
actin,vacuole,0.9790000000000001,0.008602325267042632
bud neck,cell periphery,0.9615,0.00815475321515005
bud neck,cytoplasm,0.8445,0.018801595676963156
bud neck,endosome,0.922,0.013910427743243546
bud neck,ER,0.8975,0.006519202405202654
bud neck,Golgi,0.9385,0.004062019202317971
bud neck,mitochondrion,0.8979999999999999,0.011979148550710951
bud neck,nucleus,0.9405000000000001,0.00927361849549567
bud neck,nuclear periphery,0.975,0.002738612787525853
bud neck,nucleolus,0.983,0.008124038404635967
bud neck,spindle pole,0.8859999999999999,0.008000000000000007
bud neck,peroxisome,0.9315,0.010198039027185548
bud neck,vacuolar membrane,0.9635,0.002549509756796403
bud neck,vacuole,0.8755,0.011335784048754606
cell periphery,cytoplasm,0.9504999999999999,0.008573214099741145
cell periphery,endosome,0.9600000000000002,0.006708203932499376
cell periphery,ER,0.8995,0.009669539802906845
cell periphery,Golgi,0.9655000000000001,0.006204836822995444
cell periphery,mitochondrion,0.9480000000000001,0.011335784048754629
cell periphery,nucleus,0.9800000000000001,0.00474341649025255
cell periphery,nuclear periphery,0.9865,0.006819090848492915
cell periphery,nucleolus,0.991,0.0037416573867739447
cell periphery,spindle pole,0.984,0.0033911649915626275
cell periphery,peroxisome,0.969,0.009823441352194262
cell periphery,vacuolar membrane,0.9785,0.004636809247747873
cell periphery,vacuole,0.9235000000000001,0.005612486080160904
cytoplasm,endosome,0.9084999999999999,0.011022703842524304
cytoplasm,ER,0.8895,0.008276472678623454
cytoplasm,Golgi,0.9285,0.011683321445547908
cytoplasm,mitochondrion,0.89,0.017248188310660325
cytoplasm,nucleus,0.9295,0.006000000000000005
cytoplasm,nuclear periphery,0.9615,0.007
cytoplasm,nucleolus,0.9765,0.009565563234854508
cytoplasm,spindle pole,0.924,0.007
cytoplasm,peroxisome,0.962,0.01053565375285275
cytoplasm,vacuolar membrane,0.9545,0.006964194138592056
cytoplasm,vacuole,0.8965,0.01299999999999999
endosome,ER,0.8950000000000001,0.009617692030835658
endosome,Golgi,0.7895,0.012389511693363853
endosome,mitochondrion,0.8554999999999999,0.011768602295939855
endosome,nucleus,0.922,0.007968688725254634
endosome,nuclear periphery,0.924,0.007
endosome,nucleolus,0.9440000000000002,0.009695359714832655
endosome,spindle pole,0.9035,0.01079351657246148
endosome,peroxisome,0.908,0.009137833441248529
endosome,vacuolar membrane,0.8525,0.02018662923818635
endosome,vacuole,0.8630000000000001,0.01720465053408524
ER,Golgi,0.8895,0.011979148550710932
ER,mitochondrion,0.8720000000000001,0.010049875621120856
ER,nucleus,0.9325000000000001,0.011618950038622214
ER,nuclear periphery,0.9349999999999999,0.009617692030835658
ER,nucleolus,0.9775,0.005477225575051666
ER,spindle pole,0.93,0.010246950765959608
ER,peroxisome,0.9495000000000001,0.005567764362830043
ER,vacuolar membrane,0.9324999999999999,0.010368220676663854
ER,vacuole,0.8785000000000001,0.009695359714832616
Golgi,mitochondrion,0.8394999999999999,0.024617067250182364
Golgi,nucleus,0.952,0.011768602295939828
Golgi,nuclear periphery,0.954,0.009823441352194238
Golgi,nucleolus,0.9685,0.00784219357067905
Golgi,spindle pole,0.924,0.01692631087981075
Golgi,peroxisome,0.884,0.020530465167647807
Golgi,vacuolar membrane,0.9225,0.01635542723379616
Golgi,vacuole,0.8714999999999999,0.024879710609249466
mitochondrion,nucleus,0.9019999999999999,0.011979148550710967
mitochondrion,nuclear periphery,0.9369999999999999,0.007483314773547884
mitochondrion,nucleolus,0.9335000000000001,0.012103718436910181
mitochondrion,spindle pole,0.873,0.015198684153570634
mitochondrion,peroxisome,0.865,0.017248188310660325
mitochondrion,vacuolar membrane,0.9235,0.0020000000000000074
mitochondrion,vacuole,0.9065000000000001,0.011135528725660033
nucleus,nuclear periphery,0.914,0.013656500283747658
nucleus,nucleolus,0.8950000000000001,0.015572411502397437
nucleus,spindle pole,0.9065,0.009823441352194272
nucleus,peroxisome,0.96,0.007071067811865489
nucleus,vacuolar membrane,0.9620000000000001,0.00331662479035541
nucleus,vacuole,0.9345000000000001,0.006964194138592044
nuclear periphery,nucleolus,0.9414999999999999,0.012708265027138819
nuclear periphery,spindle pole,0.917,0.01317193987231952
nuclear periphery,peroxisome,0.9705,0.0033166247903554094
nuclear periphery,vacuolar membrane,0.9574999999999999,0.0035355339059327407
nuclear periphery,vacuole,0.9615,0.006633249580710824
nucleolus,spindle pole,0.9105000000000001,0.012083045973594605
nucleolus,peroxisome,0.9705,0.0073143694191638905
nucleolus,vacuolar membrane,0.9705,0.0043011626335213325
nucleolus,vacuole,0.9804999999999999,0.005099019513592783
spindle pole,peroxisome,0.9225,0.010246950765959608
spindle pole,vacuolar membrane,0.9635,0.009027735042633898
spindle pole,vacuole,0.9425000000000001,0.014053469322555185
peroxisome,vacuolar membrane,0.9730000000000001,0.00764852927038916
peroxisome,vacuole,0.9630000000000001,0.012589678312014168
vacuolar membrane,vacuole,0.866,0.01991230775173988
